"","Acanthosaura_armata","Acanthosaura_lepidogaster","Acanthosaura_tongbiguanensis","Calotes_emma","Calotes_jerdoni","Calotes_medogensis","Calotes_mystaceus","Calotes_versicolor","Diploderma_batangense","Diploderma_brevicaudum","Diploderma_brevipes","Diploderma_chapaense","Diploderma_drukdaypo","Diploderma_dymondi","Diploderma_fasciatum","Diploderma_flaviceps","Diploderma_grahami","Diploderma_iadinum","Diploderma_laeviventre","Diploderma_luei","Diploderma_makii","Diploderma_menghaiense","Diploderma_micangshanense","Diploderma_polygonatum","Diploderma_slowinskii","Diploderma_splendidum","Diploderma_swild","Diploderma_swinhonis","Diploderma_varcoae","Diploderma_vela","Diploderma_yulongense","Diploderma_yunnanense","Diploderma_zhaoermii","Draco_blanfordii","Draco_maculatus","Japalura_andersoniana","Japalura_tricarinata","Laudakia_himalayana","Laudakia_papenfussi","Laudakia_sacra","Laudakia_stoliczkana","Laudakia_tuberculata","Laudakia_wui","Leiolepis_reevesii","Calotes_paulus","Phrynocephalus_alpherakii","Phrynocephalus_axillaris","Phrynocephalus_erythrurus","Phrynocephalus_forsythii","Phrynocephalus_grumgrzimailoi","Phrynocephalus_helioscopus","Phrynocephalus_melanurus","Phrynocephalus_mystaceus","Phrynocephalus_nasatus","Phrynocephalus_przewalskii","Phrynocephalus_putjatai","Phrynocephalus_theobaldi","Phrynocephalus_versicolor","Phrynocephalus_vlangalii","Physignathus_cocincinus","Pseudocalotes_austeniana","Pseudocalotes_brevipes","Pseudocalotes_kakhienensis","Pseudocalotes_kingdonwardi","Pseudocalotes_microlepis","Ptyctolaemus_gularis","Trapelus_sanguinolentus","Dopasia_gracilis","Dopasia_hainanensis","Dopasia_harti","Dibamus_bogadeki","Dibamus_bourreti","Goniurosaurus_araneus","Goniurosaurus_bawanglingensis","Goniurosaurus_hainanensis","Goniurosaurus_kadoorieorum","Goniurosaurus_kwangsiensis","Goniurosaurus_liboensis","Goniurosaurus_lichtenfelderi","Goniurosaurus_luii","Goniurosaurus_sinensis","Goniurosaurus_yingdeensis","Goniurosaurus_zhelongi","Goniurosaurus_zhoui","Alsophylax_pipiens","Alsophylax_przewalskii","Altiphylax_stoliczkai","Cyrtodactylus_cayuensis","Cyrtodactylus_tibetanus","Cyrtodactylus_wayakonei","Cyrtodactylus_zhaoermii","Cyrtopodion_medogense","Gehyra_mutilata","Gekko_adleri","Gekko_auriverrucosus","Gekko_chinensis","Gekko_gecko","Gekko_guishanicus","Gekko_hokouensis","Gekko_japonicus","Gekko_kikuchii","Gekko_kwangsiensis","Gekko_liboensis","Gekko_melli","Gekko_reevesii","Gekko_scabridus","Gekko_similignum","Gekko_subpalmatus","Gekko_swinhonis","Gekko_taibaiensis","Gekko_wenxianensis","Hemidactylus_aquilonius","Hemidactylus_bowringii","Hemidactylus_brookii","Hemidactylus_frenatus","Hemidactylus_garnotii","Hemidactylus_platyurus","Hemidactylus_stejnegeri","Hemiphyllodactylus_changningensis","Hemiphyllodactylus_dushanensis","Hemiphyllodactylus_hongkongensis","Hemiphyllodactylus_huishuiensis","Hemiphyllodactylus_jinpingensis","Hemiphyllodactylus_longlingensis","Hemiphyllodactylus_typus","Hemiphyllodactylus_yunnanensis","Lepidodactylus_lugubris","Lepidodactylus_yami","Mediodactylus_russowii","Ptychozoon_bannaense","Tenuidactylus_dadunensis","Tenuidactylus_elongatus","Eremias_argus","Eremias_arguta","Eremias_brenchleyi","Eremias_buechneri","Eremias_grammica","Eremias_kokshaaliensis","Eremias_multiocellata","Eremias_przewalskii","Eremias_quadrifrons","Eremias_roborowskii","Eremias_stummeri","Eremias_velox","Eremias_vermiculata","Eremias_yarkandensis","Lacerta_agilis","Takydromus_albomaculosus","Takydromus_amurensis","Takydromus_formosanus","Takydromus_hsuehshanensis","Takydromus_intermedius","Takydromus_kuehnei","Takydromus_luyeanus","Takydromus_sauteri","Takydromus_septentrionalis","Takydromus_sexlineatus","Takydromus_stejnegeri","Takydromus_sylvaticus","Takydromus_viridipunctatus","Takydromus_wolteri","Takydromus_yunkaiensis","Zootoca_vivipara","Ablepharus_alaicus","Ablepharus_deserti","Ateuchosaurus_chinensis","Emoia_atrocostata","Eutropis_cumingi","Eutropis_longicaudata","Eutropis_multicarinata","Eutropis_multifasciata","Lygosoma_bowringii","Plestiodon_capito","Plestiodon_chinensis","Plestiodon_elegans","Plestiodon_leucostictus","Plestiodon_liui","Plestiodon_quadrilineatus","Plestiodon_tamdaoensis","Plestiodon_tunganus","Scincella_barbouri","Scincella_doriae","Scincella_formosensis","Scincella_himalayanus","Scincella_huanrenensis","Scincella_ladacensis","Scincella_modesta","Scincella_monticola","Scincella_potanini","Scincella_przewalskii","Scincella_reevesii","Scincella_schmidti","Scincella_sikimmensis","Scincella_tsinlingensis","Sphenomorphus_courcyanum","Sphenomorphus_incognitus","Sphenomorphus_indicus","Sphenomorphus_maculatus","Sphenomorphus_taiwanensis","Sphenomorphus_tonkinensis","Tropidophorus_berdmorei","Tropidophorus_guangxiensis","Tropidophorus_hainanus","Tropidophorus_sinicus","Shinisaurus_crocodilurus","Teratoscincus_przewalskii","Teratoscincus_roborowskii","Teratoscincus_scincus","Varanus_irrawadicus","Varanus_nebulosus","Varanus_salvator","Plestiodon_popei"
"232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
